Rank,Name,Publisher,Developer,Platform,Release_date,Genre,Sales_NA,Sales_PAL,Sales_JP,Sales_Other,Sales_Globe
91,Halo 2,Microsoft Game Studios,Bungie Studios,XB,2004,Shooter,6.82,1.53,0.05,0.08,8.49
92,Call of Duty: Infinite Warfare,Activision,Infinity Ward,PS4,2016,Shooter,3.11,3.83,0.19,1.36,8.48
93,Fallout 4,Bethesda Softworks,Bethesda Game Studios,PS4,2015,Role-Playing,2.91,3.97,0.27,1.34,8.48
94,Wii Party,Nintendo,"Nd Cube Co., Ltd.",Wii,2010,Misc,1.75,3.51,2.49,0.66,8.41
95,Super Smash Bros. for 3DS,Nintendo,Bandai Namco Games,3DS,2014,Fighting,3.73,1.5,2.55,0.54,8.32
96,Mario Party 8,Nintendo,Hudson Soft,Wii,2007,Misc,3.74,2.27,1.58,0.7,8.3
97,FIFA 16,EA Sports,EA Canada,PS4,2015,Sports,1.15,5.77,0.07,1.23,8.22
98,Pokémon Black 2 and White 2,Nintendo,Game Freak,DS,2012,Role-Playing,2.79,1.79,3.16,0.43,8.16
99,GoldenEye 007,Nintendo,Rare Ltd.,N64,1997,Shooter,5.8,2.01,0.13,0.15,8.09
100,Final Fantasy X,Square,SquareSoft,PS2,2001,Role-Playing,2.91,2.07,2.73,0.33,8.05
101,Star Wars Battlefront (2015),Electronic Arts,EA DICE,PS4,2015,Shooter,3.31,3.19,0.23,1.3,8.03
102,FIFA 13,EA Sports,EA Canada,PS3,2012,Sports,1.07,5.13,0.13,1.68,8.01
103,Mario & Sonic at the Olympic Games,Sega,Sega,Wii,2007,Sports,2.57,3.87,0.66,0.9,8.0
104,The Sims 3,Electronic Arts,EA Redwood Shores,PC,2009,Simulation,1.01,6.46,,0.5,7.96
105,Final Fantasy VIII,Square EA,SquareSoft,PS,1999,Role-Playing,2.28,1.72,3.63,0.23,7.86
106,Pac-Man,Atari,Atari,2600,1982,Puzzle,7.28,0.45,,0.08,7.81
107,Pokémon Platinum Version,Nintendo,Game Freak,DS,2009,Role-Playing,2.76,1.73,2.69,0.54,7.72
108,Grand Theft Auto: Liberty City Stories,Rockstar Games,Rockstar Leeds,PSP,2005,Action,2.9,2.83,0.24,1.74,7.72
109,Mario Kart 8,Nintendo,Nintendo,WiiU,2014,Racing,3.22,2.55,1.39,0.54,7.69
110,The Legend of Zelda: Ocarina of Time,Nintendo,Nintendo EAD,N64,1998,Adventure,4.1,1.89,1.45,0.16,7.6
111,Crash Bandicoot 2: Cortex Strikes Back,Sony Computer Entertainment,Naughty Dog,PS,1997,Platform,3.78,2.17,1.31,0.31,7.58
112,Super Mario Galaxy 2,Nintendo,Nintendo EAD Tokyo,Wii,2010,Platform,3.59,2.37,0.98,0.62,7.57
113,Call of Duty: Advanced Warfare,Activision,Sledgehammer Games,PS4,2014,Shooter,2.84,3.34,0.14,1.22,7.53
114,Call of Duty: World at War,Activision,Treyarch,X360,2008,Shooter,4.88,1.91,,0.71,7.5
115,Super Mario Bros. 2,Nintendo,Nintendo EAD,NES,1988,Platform,5.39,1.18,0.7,0.19,7.46
116,Call of Duty: Black Ops 3,Activision,Treyarch,XOne,2015,Shooter,4.63,2.04,0.02,0.68,7.37
117,Battlefield 3,Electronic Arts,Dice,X360,2011,Shooter,4.47,2.12,0.06,0.69,7.35
118,Battlefield 1,Electronic Arts,EA DICE,PS4,2016,Shooter,2.2,3.65,0.29,1.12,7.26
119,Battlefield 3,Electronic Arts,Dice,PS3,2011,Shooter,2.86,2.94,0.35,1.07,7.21
120,Just Dance,Ubisoft,Ubisoft Paris,Wii,2009,Misc,3.48,2.99,,0.73,7.21
121,Need for Speed Underground,Electronic Arts,EA Black Box,PS2,2003,Racing,3.27,2.83,0.08,1.02,7.2
122,The Legend of Zelda: Twilight Princess,Nintendo,Nintendo EAD,Wii,2006,Adventure,3.74,2.16,0.6,0.69,7.18
123,Tekken 3,Namco,Namco,PS,1998,Fighting,3.27,2.22,1.4,0.29,7.16
124,Pokémon: Ultra Sun and Ultra Moon,Nintendo,Game Freak,3DS,2017,Role-Playing,2.46,1.74,2.55,0.4,7.15
125,Crash Bandicoot 3: Warped,Sony Computer Entertainment,Naughty Dog,PS,1998,Platform,3.68,1.75,1.42,0.28,7.13
126,Super Smash Bros. Melee,Nintendo,HAL Laboratory,GC,2001,Fighting,4.41,1.04,1.39,0.22,7.07
127,Splatoon 2,Nintendo,Nintendo EPD,NS,2017,Shooter,1.9,1.8,3.01,0.34,7.04
128,Mario Kart: Double Dash!!,Nintendo,Nintendo EAD,GC,2003,Racing,4.12,1.77,0.87,0.19,6.95
129,Need for Speed Underground 2,Electronic Arts,EA Black Box,PS2,2004,Racing,2.71,3.02,0.08,1.09,6.9
130,Just Dance 4,Ubisoft,Ubisoft,Wii,2012,Music,4.05,2.21,,0.62,6.89
131,Uncharted 3: Drake's Deception,Sony Computer Entertainment,Naughty Dog,PS3,2011,Action,2.77,2.81,0.19,1.06,6.84
132,Medal of Honor: Frontline,Electronic Arts,EA Los Angeles,PS2,2002,Shooter,2.93,2.75,0.17,0.99,6.83
133,Crash Bandicoot,Sony Computer Entertainment,Naughty Dog,PS,1996,Platform,3.23,2.35,0.94,0.3,6.82
134,The Last of Us Remastered,Sony Computer Entertainment,Naughty Dog,PS4,2014,Action-Adventure,2.7,2.86,0.11,1.1,6.77
135,Zumba Fitness,Majesco,"Pipeworks Software, Inc.",Wii,2010,Sports,3.47,2.62,,0.67,6.76
136,Gears of War 2,Microsoft Game Studios,Epic Games,X360,2008,Shooter,4.15,1.91,0.06,0.64,6.75
137,Uncharted 2: Among Thieves,Sony Computer Entertainment,Naughty Dog,PS3,2009,Action,3.28,2.22,0.21,1.02,6.74
138,Call of Duty 4: Modern Warfare,Activision,Infinity Ward,PS3,2007,Shooter,3.13,2.27,0.28,1.04,6.72
139,FIFA Soccer 12,EA Sports,EA Canada,PS3,2011,Sports,0.84,4.33,0.11,1.37,6.65
140,Big Brain Academy,Nintendo,Nintendo EAD,DS,2006,Misc,1.66,2.75,1.6,0.62,6.63
141,FIFA 14,EA Sports,EA Canada,PS3,2013,Sports,0.79,4.77,0.07,0.98,6.61
142,Red Dead Redemption,Rockstar Games,Rockstar San Diego,PS3,2011,Action,2.82,2.58,0.17,1.0,6.57
143,The Legend of Zelda,Nintendo,Nintendo EAD,NES,1987,Adventure,3.74,0.93,1.69,0.14,6.51
144,Donkey Kong Country Returns,Nintendo,Retro Studios,Wii,2010,Platform,3.19,1.81,1.03,0.47,6.5
145,Assassin's Creed III,Ubisoft,Ubisoft Montreal,PS3,2012,Action-Adventure,2.65,2.61,0.16,1.08,6.5
146,Red Dead Redemption,Rockstar Games,Rockstar San Diego,X360,2010,Action,3.77,2.03,0.09,0.6,6.5
147,The Elder Scrolls V: Skyrim,Bethesda Softworks,Bethesda Game Studios,PS3,2011,Role-Playing,2.57,2.68,0.25,0.99,6.49
148,Halo: Combat Evolved,Microsoft,Bungie Studios,XB,2001,Shooter,4.98,1.3,0.08,0.07,6.43
149,Pokémon Emerald Version,Nintendo,Game Freak,GBA,2005,Role-Playing,2.57,1.58,2.06,0.21,6.41
150,Kingdom Hearts,Square EA,SquareSoft,PS2,2002,Role-Playing,3.64,1.2,1.49,0.07,6.4
151,Pokémon Crystal Version,Nintendo,Game Freak,GBC,2001,Role-Playing,2.55,1.56,1.29,0.99,6.39
152,World of Warcraft,Blizzard Entertainment,Blizzard Entertainment,PC,2004,MMO,0.12,6.24,,,6.35
153,Halo 3: ODST,Microsoft Game Studios,Bungie,X360,2009,Shooter,4.34,1.34,0.06,0.61,6.35
154,Minecraft,Sony Computer Entertainment,Mojang,PS4,2014,Misc,1.89,3.13,0.35,0.96,6.33
155,FIFA 15,EA Sports,EA Canada,PS4,2014,Sports,0.83,4.49,0.05,0.94,6.32
156,Super Mario Sunshine,Nintendo,Nintendo EAD,GC,2002,Platform,4.01,1.26,0.87,0.17,6.31
157,Street Fighter II: The World Warrior,Capcom,Capcom,SNES,1992,Fighting,2.47,0.83,2.87,0.12,6.3
158,The Last of Us,Sony Computer Entertainment America,Naughty Dog,PS3,2013,Action-Adventure,2.41,2.57,0.29,0.99,6.27
159,Driver,GT Interactive,Reflections Interactive,PS,1999,Action,3.11,2.8,0.02,0.33,6.27
160,Call of Duty: WWII,Activision,Sledgehammer Games,XOne,2017,Shooter,3.75,1.91,,0.57,6.23
161,Kinect Sports,Microsoft Game Studios,Rare Ltd.,X360,2010,Sports,3.92,1.73,0.03,0.55,6.23
162,Gears of War 3,Microsoft Studios,Epic Games,X360,2011,Shooter,4.05,1.59,0.07,0.5,6.22
163,God of War (2018),Sony Interactive Entertainment,SIE Santa Monica Studio,PS4,2018,Action,2.83,2.17,0.13,1.02,6.15
164,Gears of War,Microsoft Game Studios,Epic Games,X360,2006,Shooter,3.54,1.88,0.07,0.6,6.09
165,Minecraft,Sony Computer Entertainment America,Mojang,PS3,2014,Misc,2.21,2.86,,0.99,6.05
166,Metal Gear Solid 2: Sons of Liberty,Konami,Konami Computer Entertainment Japan,PS2,2001,Action-Adventure,2.45,2.01,0.87,0.72,6.05
167,Sonic the Hedgehog 2,Sega,Sonic Team,GEN,1992,Platform,4.47,1.2,0.16,0.19,6.03
168,Metal Gear Solid,Konami,Konami Computer Entertainment Japan,PS,1998,Action-Adventure,3.18,1.83,0.78,0.24,6.03
169,Metal Gear Solid 4: Guns of the Patriots,Konami,Kojima Productions,PS3,2008,Action-Adventure,2.63,1.72,0.83,0.81,6.0
170,Final Fantasy XII,Square Enix,Square Enix,PS2,2006,Role-Playing,1.88,0.0,2.33,1.74,5.95
171,Tomodachi Life,Nintendo,Nintendo,3DS,2014,Simulation,0.97,2.64,1.98,0.28,5.88
172,LittleBigPlanet,Sony Computer Entertainment,Media Molecule,PS3,2008,Platform,2.8,2.01,0.17,0.87,5.85
173,Horizon: Zero Dawn,Sony Interactive Entertainment,Guerrilla Games,PS4,2017,Action-Adventure,2.2,2.43,0.28,0.92,5.82
174,Resident Evil 2,Capcom,Capcom,PS,1998,Action,1.88,1.47,2.02,0.45,5.82
175,Dragon Quest IX: Sentinels of the Starry Skies,Nintendo,Level 5,DS,2010,Role-Playing,0.63,0.67,4.35,0.15,5.79
176,Red Dead Redemption 2,Rockstar Games,Rockstar Games,XOne,2018,Action-Adventure,3.76,1.47,,0.54,5.77
177,Destiny,Activision,Bungie,PS4,2014,Shooter,2.53,2.13,0.16,0.94,5.76
178,Tekken 2,Namco,Namco,PS,1996,Fighting,2.26,1.89,1.36,0.23,5.74
179,Uncharted: The Nathan Drake Collection,Sony Computer Entertainment,Bluepoint Games,PS4,2015,Action,2.55,2.11,0.1,0.94,5.7
180,LEGO Star Wars: The Complete Saga,LucasArts,Traveller's Tales,Wii,2007,Action,3.57,1.57,,0.52,5.66
